Project Name,State ,MW Capacity,Fuel Source,Committed Date (Month/Year),latitude,longitude,formatted_address
East Rockingham Resource Recovery Facility,WA,29.0,Biomass,Dec-2019,,,"East Rockingham Resource Recovery Facility, WA, Australia"
Mangalore Renewable Energy Project,VIC,5.0,Solar,Sep-2021,-36.924626,145.1708314,"Mangalore, Shire of Strathbogie, Victoria, 3663, Australia"
Orange Community Renewable Energy Park,NSW,5.0,Solar,Jul-2022,-33.9128773,150.9146858,"Orange Grove Community Hall, Hindmarsh Road, Liverpool, Sydney, Liverpool City Council, New South Wales, 2170, Australia"
Moorebank Logistics Park,NSW,60.0,Solar,Sep-2022,-33.9548342,150.9291037,"Moorebank Avenue, Moorebank IMEX Logistics Park, Moorebank, Sydney, Liverpool City Council, New South Wales, 2170, Australia"
Wangaratta Solar Farm,VIC,40.0,Solar,Jul-2023,-36.356434,146.3228311,"Wangaratta, Rural City of Wangaratta, Victoria, 3677, Australia"
Kidston Pumped Hydro Storage Project,QLD,250.0,Hydro,Jul-2023,-18.871726,144.1550795,"Kidston Pumped Hydro, Einasleigh, Etheridge Shire, Queensland, 4871, Australia"
New England Solar Farm - Stage 2,NSW,320.0,Solar,Jul-2023,-30.5954925,152.4697192,"New England National Park, New South Wales, Australia"
Bellevue Gold Hybrid Power Station (Wind),WA,24.0,Wind,Sep-2023,-27.9524323,153.3974942,"Bellevue Parade, Labrador, Gold Coast City, Queensland, 4215, Australia"
Glenellen solar project,NSW,200.0,Solar,Nov-2023,-35.915,146.9177778,"Glenellen, Greater Hume Shire Council, New South Wales, 2642, Australia"
Forest Glen Solar Farm,NSW,90.0,Solar,Dec-2023,-33.5483333,151.0177778,"Forest Glen, Sydney, The Council of the Shire of Hornsby, New South Wales, 2157, Australia"
Uungula Wind Farm,NSW,414.0,Wind,Jan-2024,-32.5450403,149.1970061,"Uungula Creek, Dubbo Regional Council, New South Wales, Australia"
Munna Creek Solar Farm,QLD,150.0,Solar,Jan-2024,-25.881987,152.4509775,"Munna Creek, Fraser Coast Regional, Queensland, 4570, Australia"
St Ives Gold Solar Farm,WA,77.0,Wind,Mar-2024,-31.4068865,121.8274235,"Saint Ives Road, St Ives Gold Mine, Widgiemooltha, Shire Of Coolgardie, Western Australia, Australia"
Gunsynd Solar Farm,QLD,94.0,Solar,Mar-2024,-28.0979003,153.3662247,"Gunsynd Drive Reserve, Mudgeeraba, Gold Coast City, Queensland, Australia"
Aldoga Solar Farm,QLD,380.0,Solar,Apr-2024,-23.844797,151.0739806,"Aldoga, Gladstone Regional, Queensland, 4694, Australia"
Arnotts Huntingwood Solar Project,NSW,4.95,Solar,May-2024,,,"Arnotts Huntingwood Solar Project, NSW, Australia"
Quorn Park Solar Hybrid,NSW,98.0,Solar,Jun-2024,-33.0809644,148.0922033,"Quorn Park Solar Farm, Parkes, Parkes Shire Council, New South Wales, 2870, Australia"
Golden Plains Wind Farm - Stage 2,VIC,574.0,Wind,Jun-2024,-37.852439,143.8390727,"Golden Plains Shire, Victoria, Australia"
Lotus Creek Wind Farm,QLD,285.0,Wind,Aug-2024,-22.2716685,149.0887455,"Lotus Creek, Isaac Regional, Queensland, 4705, Australia"
Goorambat Solar Farm,VIC,250.0,Solar,Aug-2024,-36.4141675,145.9531843,"Goorambat, Rural City of Benalla, Victoria, 3725, Australia"
Hay Solar Farm,NSW,7.5,Solar,Sep-2024,-34.1573005,144.890393,"Hay Shire Council, New South Wales, 2711, Australia"
Broadsound Solar Farm,QLD,376.0,Solar,Sep-2024,-21.1891305,149.1502641,"Bruce Highway, Ooralea, Bakers Creek, Mackay Regional, Queensland, Australia"
Boulder Creek Wind Farm,QLD,228.0,Wind,Sep-2024,-23.6710175,150.3134101,"Boulder Creek, Rockhampton Regional, Queensland, 4714, Australia"
Horsham Solar Farm,VIC,118.8,Solar,Nov-2024,-36.7148099,142.2018105,"Horsham, Rural City of Horsham, Victoria, 3400, Australia"
Carwarp Energy Park,VIC,171.0,Solar,Dec-2024,-34.4571108,142.1972835,"Carwarp, Rural City of Mildura, Victoria, 3494, Australia"
Goulburn River Solar Farm,NSW,450.0,Solar,Dec-2024,-32.3253263,150.1753793,"Goulburn River, New South Wales, Australia"
Wambo Wind Farm Stage 2,QLD,254.0,Wind,Dec-2024,-26.63629,151.2709429,"Wambo Wind Farm, Diamondy, Western Downs Regional, Queensland, Australia"
Warradarge Wind Farm Stage 2,WA,108.0,Wind,Dec-2024,,,"Warradarge Wind Farm Stage 2, WA, Australia"
Bungama Solar Farm (stage 3),SA,280.0,Solar,Feb-2025,-33.1979576,138.0680019,"Bungama, Port Pirie Regional Council, South Australia, 5540, Australia"
Fulham Solar Farm,VIC,80.0,Solar,Apr-2025,-38.082623,146.9634772,"Fulham, Shire of Wellington, Victoria, 3851, Australia"
Cloudbreak Solar Farm,WA,190.0,Solar,Apr-2025,-22.3045424,119.4320893,"Cloudbreak Village (FMG), Nullagine, Shire of East Pilbara, Western Australia, Australia"
Port Latta Wind Farm,TAS,25.0,Wind,Apr-2025,-40.8517723,145.3818738,"Port Latta, Circular Head, Tasmania, 7321, Australia"
Wandoan South Solar Farm (Stage 2),QLD,240.0,Solar,Apr-2025,-26.2568241,149.7756855,"Wandoan South Solar 1, Woleebee, Western Downs Regional, Queensland, Australia"
Lancaster Solar Farm,VIC,106.0,Solar,Jun-2025,-36.298938,145.136072,"Lancaster, Shire of Campaspe, Victoria, 3620, Australia"
Mulwala Solar Farm,NSW,31.0,Solar,Jun-2025,-35.9869152,146.0026789,"Mulwala, Federation Council, New South Wales, 2647, Australia"
